Query	PT	ST	STCo	STCa	STCoCa	EVPBT	EVP
AM-IL-1	145387	172133	156025	129961	134096	21053	14410
AM-IL-2	76845	95061	73031	71983	68129	33078	19024
AM-IL-3	1932079	9093967	273573	8986699	262447	344849	431454
AM-5	227782	806794	136380	776837	129953	37298	27774
AM-6	263319	1042900	119181	882921	105233	42434	37684
AM-7	194362	341750	113273	292538	100106	36927	44072
AM-8	1959502	14275639	317633	14211317	307011	569182	699454
AM-9	759324	1085322	137551	1065507	128819	61824	63462
AM-10	904333	1155639	147202	1136981	134379	50295	57329
